restaurant_code,menu_name,price,description
12,얼그레이헤이즐넛갸또,7300,
12,블루베리치즈케이크,7300,
12,조각모둠케이크,,"매장에 있는 조각케이크 7개합쳐 원형.
레터링은 서비스입니다"
12,카페라떼,4300,
12,마시멜로핫초코,5000,
12,런던포그,5300,
12,딸기폭탄케이크,57000,"1호 57000
2호 63000
미리 주문주셔야 합니다"
12,아뜨레생딸기빙수,20000,계절메뉴
12,안녕딸기케이크,50000,"하루 전 미리 주문주셔야 가능합니다
계절메뉴
2호 52000
1호 50000"
12,생망고홀케이크,54000,"1호 54000
2호 56000
미리 주문주셔야합니다"
